old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Hyperiidae,Hyperiidae,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Hyperiidae_Juvenile,Hyperiidae_Juvenile,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Hyperoche,Hyperoche,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Hyperoche_mediterranea,Hyperoche,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Hyperoche_medusarum,Hyperoche_medusarum,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Insecta,Arthropoda,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,,Other
Isopoda_Juvenile,Isopoda_Juvenile,Isopoda,Isopods,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Kellia_suborbicularis_Veliger,Mollusca_Veliger,Bivalvia_Veliger,Bivalves,Other,Nearshore,Non-gelatinous,Molluscs,,Other
Lepeophtheirus_salmonis_Juvenile,Parasites,Parasite,Parasite,Other,Other,Non-gelatinous,NVM,,Other
Limacina_helicina,Pteropoda,Gastropoda,Gastropods,Other,Pelagic,Gelatinous,Molluscs,,Gelatinous
Lophopanopeus_bellus_bellus_Zoea_II,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Lophopanopeus_bellus_Zoea_I,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Lophopanopeus_bellus_Zoea_II,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Lophopanopeus_bellus_Zoea_III,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Lophopanopeus_bellus_Zoea_IV,Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Mesocalanus_tenuicornis,Mesocalanus_tenuicornis,Mesocalanus_tenuicornis,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Metridia,Metridia,Metridia,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Metridia_curticaudata,Metridia_curticaudata,Metridia,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Metridia_lucens,Metridia,Metridia,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Metriocnemus_Larvae,Diptera_Larvae,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,,Other
Microcalanus_pygmaeus_pusillus,Microcalanus_pygmaeus_pusillus,Microcalanus_pygmaeus_pusillus,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Microplastic_chunk_Object,Objects,Objects,Detritus,Other,Other,Non-gelatinous,NVM,,Other
Monocorophium,Senticaudata,Gammarida,Amphipods,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Nannastacidae,Cumacea,Cumacea,Cumacean,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Nematoda,Parasites,Parasite,Parasite,Other,Other,Non-gelatinous,NVM,,Other
Nematoscelis_difficilis,Euphausiidae,Nematoscelis_difficilis,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,,Crustacean
